Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/CodeSystem-Dialyseadgang.json	2020	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	11	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-DiseaseLocalization.json	2402	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	8	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-DiseasePhase.json	2061	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	43	10	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-DiseasesUnspecified.json	23399	0	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	1	0	0	182	49	0	0	0	2	0	1
fsh-generated/resources/CodeSystem-Dosis.json	1781	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	198	11	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-EDTACodes.json	5246	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	12	12	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-EHSIncisionalHerniaClassification.json	3456	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	112	12	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-EHSIncisionalHerniaClassificationType.json	2174	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	13	9	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-EORTCQLQC1514.json	2129	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	7	11	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-EORTCQLQC1517.json	2517	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	9	11	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-EconomicSupport.json	2131	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	10	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-EdemaStroke.json	1923	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	9	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-EducationType.json	1839	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	10	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-EndoscopicAppearance.json	1998	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	9	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-EsophagealLokalization.json	2016	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	8	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-FISHVariables.json	3434	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	76	11	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-Faggruppe.json	1816	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	75	8	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-FisherGradingScale.json	2318	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	378	8	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-FixationCruciateLigaments.json	12004	1	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	44	18	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-FollowUp.json	2120	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	9	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-Frekvens.json	4856	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	9	11	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-FunctionGroupAlloplasty.json	2526	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	11	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-FunctionTest.json	1915	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	9	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-FunctionalScoreTypes.json	1939	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	7	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-GenericValues.json	9675	1	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	16	15	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-GenoplivStoppet.json	2049	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	9	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-Genoplivning.json	2076	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	8	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-GraftCruciateLigaments.json	3506	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	11	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-GynUndersoegDUGA.json	1933	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	35	10	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-HaandProblemer.json	4486	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	11	10	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-HaemoglobinTransf4.json	2114	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	335	8	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-HaendelseIndtraeffer.json	2479	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-HarrisHipScoreDistanceWalked.json	2400	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	116	11	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-HarrisHipScoreLimp.json	2122	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	350	9	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-HarrisHipScorePain.json	3094	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-HarrisHipScorePublicTransportation.json	2140	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-HarrisHipScoreShoesSocks.json	2139	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	8	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-HarrisHipScoreSitting.json	2223	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	12	7	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-HarrisHipScoreStairs.json	2258	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	221	9	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-HarrisHipScoreSupport.json	2541	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	8	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-HeartRhythm.json	1801	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	7	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-HerniaSize.json	2036	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	8	8	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-HipJointArthroplastyComponent.json	15911	1	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	411	18	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-HjerterytmeAnalyse.json	1986	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	15	8	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-HjertestopAarsag.json	1856	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	23	8	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-HousingType.json	2375	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	43	8	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-HuntHessClassification.json	2538	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ICHAction.json	1912	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ICRSGradingSystem.json	3718	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	9	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-IPSSRCytogeneticCategory.json	2745	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	230	8	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-IkkeBesvaret.json	1985	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	7	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ImplantComponents.json	11690	1	0	0	0	0	0	0	1	6	0	0	0	0	0	1	0	0	0	0	76	15	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ImplantattypeDUGA.json	2426	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	26	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-IncisionChoice.json	4637	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	17	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-Intervals.json	3643	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	12	13	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-IntervalsExact.json	5953	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	345	17	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-Interventionsforloeb.json	1988	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	50	10	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-Interventionsgruppe.json	2891	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	11	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-Intubation.json	2641	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	8	10	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-IntubationRelaks.json	1873	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	9	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-KellgrenLawrenceKlassifikation.json	2323	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	10	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-KliniskeSymptomerDCCG.json	2427	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	7	10	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-KneeJointArthroplastyComponent.json	32074	1	0	0	1	0	0	0	1	20	0	0	0	0	0	0	0	0	0	0	341	40	0	0	0	4	0	0
fsh-generated/resources/CodeSystem-KneeLoosenessGrading.json	2585	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	64	14	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-KomponentLiner.json	2738	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	222	11	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-KorsbaandEjBevaret.json	1984	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	135	10	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-LaryngoskopiDegree.json	2762	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	11	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-LesionType.json	1978	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	621	9	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-LifeStatus.json	1838	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	9	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-LiquorDrain.json	3113	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	10	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-MComponentType.json	3707	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	12	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-MDTNotFollowed.json	2226	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	9	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-MTICIClassification.json	3319	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	10	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-MaaleEnheder.json	4480	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	12	14	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-Maengde.json	1977	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	7	9	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-MaritalStatus.json	2752	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	10	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-MeasurementDevices.json	1881	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	10	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-MedicalFixationClosing.json	8540	1	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	14	16	0	0	0	1	0	1
